method,seed,team_size,budget,best_team,best_fitness,duration_sec,unique_evals
Random,0,4,66,"[389, 394, 142, 53]",0.43745434443692843,218.49954271499882,66
Random,1,4,66,"[363, 247, 94, 143]",0.4712289825929753,252.62572555601946,66
Random,2,4,66,"[468, 142, 198, 143]",0.4712289825929753,290.8211666139832,66
Random,3,4,66,"[445, 491, 399, 425]",0.45487962392057285,288.7563826099795,66
Random,4,4,66,"[336, 544, 53, 229]",0.46085649028791514,269.0087619769911,66
Random,5,4,66,"[142, 438, 225, 27]",0.4712289825929753,281.44062758699874,66
Random,6,4,66,"[3, 94, 458, 291]",0.46085649028791514,276.8716065660119,66
Random,7,4,66,"[142, 563, 270, 62]",0.45487962392057285,288.43279329600045,66
Random,8,4,66,"[14, 71, 369, 5]",0.46697900317186447,294.26976647699485,66
Random,9,4,66,"[335, 229, 193, 500]",0.46085649028791514,275.40748807802447,66
